Code,Store Name,# of Customers,# of Items,Total Sales,Discount,Avg Sales per Customer,Avg Sales per Item,Date,Month,Year,Weekday,Distance from Station X(Meter),Distance from Station X(Feet),Distance from Station Y(Meter),Distance from Station Y(Feet),Distance from Main Street(Meter),Distance from Main Street(Feet),YenWonRatio,Holiday,ActualHighTemp,Outlook,Japanese Tourists
20002,Store A,289,2528,19579200,0,67748,7745,9/1/2011,9,2011,Thursday,250,820,500,1640,220,722,13.93,0,87,NA,
20002,Store A,230,2404,20031700,0,87094,8333,9/2/2011,9,2011,Friday,250,820,500,1640,220,722,13.83,0,89,NA,
20002,Store A,244,2018,20681800,0,84761,10249,9/3/2011,9,2011,Saturday,250,820,500,1640,220,722,13.83,0,87,Cloudy,
20002,Store A,230,1875,21673500,0,94233,11559,9/4/2011,9,2011,Sunday,250,820,500,1640,220,722,13.85,0,84,Cloudy,
20002,Store A,306,2327,21652200,0,70759,9305,9/5/2011,9,2011,Monday,250,820,500,1640,220,722,13.85,0,82,Sunny,
20002,Store A,300,2331,19235600,0,64119,8252,9/6/2011,9,2011,Tuesday,250,820,500,1640,220,722,13.9,0,82,Sunny,
20002,Store A,276,2791,22943500,0,83129,8221,9/7/2011,9,2011,Wednesday,250,820,500,1640,220,722,13.91,0,80,Cloudy,
20002,Store A,218,1994,17866200,0,81955,8960,9/8/2011,9,2011,Thursday,250,820,500,1640,220,722,13.86,0,77,Cloudy,
20002,Store A,205,2261,18668900,0,91068,8257,9/9/2011,9,2011,Friday,250,820,500,1640,220,722,13.87,0,69,Rainy,
20002,Store A,301,2269,21397200,0,71087,9430,9/10/2011,9,2011,Saturday,250,820,500,1640,220,722,13.88,0,78,NA,
20002,Store A,254,1922,17476400,0,68805,9093,9/11/2011,9,2011,Sunday,250,820,500,1640,220,722,13.87,0,73,Rainy,
20002,Store A,257,2131,20688600,0,80500,9708,9/12/2011,9,2011,Monday,250,820,500,1640,220,722,13.87,0,80,Cloudy,
20002,Store A,229,2047,17032300,0,74377,8321,9/13/2011,9,2011,Tuesday,250,820,500,1640,220,722,13.97,0,84,Cloudy,
20002,Store A,250,2207,17749200,0,70997,8042,9/14/2011,9,2011,Wednesday,250,820,500,1640,220,722,13.96,0,84,NA,
20002,Store A,285,2590,22187400,0,77851,8567,9/15/2011,9,2011,Thursday,250,820,500,1640,220,722,14.23,0,86,NA,
20002,Store A,249,2426,20316200,0,81591,8374,9/16/2011,9,2011,Friday,250,820,500,1640,220,722,14.47,0,87,NA,
20002,Store A,271,2496,26767100,0,98772,10724,9/17/2011,9,2011,Saturday,250,820,500,1640,220,722,14.47,1,86,NA,
