Code,Store Name,# of Customers,# of Items,Total Sales,Discount,Avg Sales per Customer,Avg Sales per Item,Date,Month,Year,Weekday,Distance from Station X(Meter),Distance from Station X(Feet),Distance from Station Y(Meter),Distance from Station Y(Feet),Distance from Main Street(Meter),Distance from Main Street(Feet),YenWonRatio,Holiday,ActualHighTemp,Outlook,Japanese Tourists
20288,Store B,257,1474,8974800,0,34921,6089,9/1/2011,9,2011,Thursday,180,591,550,1804,230,755,13.93,0,87,NA,
20288,Store B,260,1769,12861500,0,49467,7270,9/2/2011,9,2011,Friday,180,591,550,1804,230,755,13.83,0,89,NA,
20288,Store B,196,1383,10509400,0,53619,7599,9/3/2011,9,2011,Saturday,180,591,550,1804,230,755,13.83,0,87,Cloudy,
20288,Store B,171,1004,7741700,0,45273,7711,9/4/2011,9,2011,Sunday,180,591,550,1804,230,755,13.85,0,84,Cloudy,
20288,Store B,184,1295,11250500,0,61144,8688,9/5/2011,9,2011,Monday,180,591,550,1804,230,755,13.85,0,82,Sunny,
20288,Store B,218,1330,9227600,0,42328,6938,9/6/2011,9,2011,Tuesday,180,591,550,1804,230,755,13.9,0,82,Sunny,
20288,Store B,165,1231,9118700,0,55265,7408,9/7/2011,9,2011,Wednesday,180,591,550,1804,230,755,13.91,0,80,Cloudy,
20288,Store B,143,959,7375400,0,51576,7691,9/8/2011,9,2011,Thursday,180,591,550,1804,230,755,13.86,0,77,Cloudy,
20288,Store B,126,842,4796100,0,38064,5696,9/9/2011,9,2011,Friday,180,591,550,1804,230,755,13.87,0,69,Rainy,
20288,Store B,172,1235,8072100,0,46931,6536,9/10/2011,9,2011,Saturday,180,591,550,1804,230,755,13.88,0,78,NA,
20288,Store B,156,939,7287000,0,46712,7760,9/11/2011,9,2011,Sunday,180,591,550,1804,230,755,13.87,0,73,Rainy,
20288,Store B,150,923,6136000,0,40907,6648,9/12/2011,9,2011,Monday,180,591,550,1804,230,755,13.87,0,80,Cloudy,
