Code,Store Name,# of Customers,# of Items,Total Sales,Discount,Avg Sales per Customer,Avg Sales per Item,Date,Month,Year,Weekday,Distance from Station X(Meter),Distance from Station X(Feet),Distance from Station Y(Meter),Distance from Station Y(Feet),Distance from Main Street(Meter),Distance from Main Street(Feet),YenWonRatio,Holiday,ActualHighTemp,Outlook,Japanese Tourists
20240,Store D,207,1468,10626800,0,51337,7239,9/1/2011,9,2011,Thursday,400,1312,300,984,400,1312,13.93,0,87,NA,
20240,Store D,197,1015,9339700,0,47410,9202,9/2/2011,9,2011,Friday,400,1312,300,984,400,1312,13.83,0,89,NA,
20240,Store D,178,834,9091100,0,51074,10901,9/3/2011,9,2011,Saturday,400,1312,300,984,400,1312,13.83,0,87,Cloudy,
20240,Store D,191,1124,9128100,0,47791,8121,9/4/2011,9,2011,Sunday,400,1312,300,984,400,1312,13.85,0,84,Cloudy,
20240,Store D,184,1087,10001500,0,54356,9201,9/5/2011,9,2011,Monday,400,1312,300,984,400,1312,13.85,0,82,Sunny,
20240,Store D,188,1203,9611600,0,51126,7990,9/6/2011,9,2011,Tuesday,400,1312,300,984,400,1312,13.9,0,82,Sunny,
20240,Store D,219,1175,9103200,0,41567,7747,9/7/2011,9,2011,Wednesday,400,1312,300,984,400,1312,13.91,0,80,Cloudy,
20240,Store D,149,839,5864300,0,39358,6990,9/8/2011,9,2011,Thursday,400,1312,300,984,400,1312,13.86,0,77,Cloudy,
20240,Store D,159,1239,11642100,0,73221,9396,9/9/2011,9,2011,Friday,400,1312,300,984,400,1312,13.87,0,69,Rainy,
20240,Store D,182,1166,9046800,0,49708,7759,9/10/2011,9,2011,Saturday,400,1312,300,984,400,1312,13.88,0,78,NA,
20240,Store D,211,1322,12053200,0,57124,9117,9/11/2011,9,2011,Sunday,400,1312,300,984,400,1312,13.87,0,73,Rainy,
20240,Store D,127,721,6111000,0,48118,8476,9/12/2011,9,2011,Monday,400,1312,300,984,400,1312,13.87,0,80,Cloudy,
20240,Store D,175,873,6297700,0,35987,7214,9/13/2011,9,2011,Tuesday,400,1312,300,984,400,1312,13.97,0,84,Cloudy,
20240,Store D,132,709,6805600,0,51558,9599,9/14/2011,9,2011,Wednesday,400,1312,300,984,400,1312,13.96,0,84,NA,
20240,Store D,169,1148,8687600,0,51406,7568,9/15/2011,9,2011,Thursday,400,1312,300,984,400,1312,14.23,0,86,NA,
20240,Store D,182,1359,10912100,0,59957,8030,9/16/2011,9,2011,Friday,400,1312,300,984,400,1312,14.47,0,87,NA,
20240,Store D,226,1961,17273600,0,76432,8809,9/17/2011,9,2011,Saturday,400,1312,300,984,400,1312,14.47,1,86,NA,
20240,Store D,209,1578,15251500,0,72974,9665,9/18/2011,9,2011,Sunday,400,1312,300,984,400,1312,14.45,1,78,Cloudy,
20240,Store D,164,1141,8688000,0,52976,7614,9/19/2011,9,2011,Monday,400,1312,300,984,400,1312,14.44,1,66,Rainy,
20240,Store D,175,1065,11784700,0,67341,11065,9/20/2011,9,2011,Tuesday,400,1312,300,984,400,1312,14.73,0,73,Sunny,
